LeetcodeId,Title,Acceptance,Difficulty,Frequency,Topic,Company
103,Binary Tree Zigzag Level Order Traversal    ,0.408,Medium,9,breadth-first-search|Tree|Stack,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|baidu|goldman-sachs|oracle|ebay|tencent|pinterest|nutanix|nvidia|qualtrics|servicenow|tableau
344,Reverse String    ,0.629,Easy,9,Two Pointers|String,google|amazon|facebook|microsoft|bloomberg|adobe|apple|linkedin|alibaba|airbnb|baidu|goldman-sachs|ebay|tencent|vmware|walmart-labs|cisco|godaddy|huawei
528,Random Pick with Weight    ,0.428,Medium,9,Binary Search|Random,google|amazon|facebook|uber|linkedin|yelp|two-sigma|rubrik|doordash
98,Validate Binary Search Tree    ,0.254,Medium,9,Depth First|Tree,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|snapchat|goldman-sachs|vmware|walmart-labs|zillow|mathworks|nutanix|nvidia|visa|sap|square|qualtrics|capital-one|tripadvisor
394,Decode String    ,0.441,Medium,9,Depth First|Stack,google|amazon|facebook|microsoft|bloomberg|apple|yahoo|snapchat|oracle|yelp|works-applications|coupang|appdynamics
923,3Sum With Multiplicity    ,0.328,Medium,9,Two Pointers,quora
67,Add Binary    ,0.383,Easy,9,Math|String,google|amazon|facebook|microsoft|adobe|uber|alibaba|intuit
124,Binary Tree Maximum Path Sum    ,0.295,Hard,9,Depth First|Tree,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|alibaba|baidu|snapchat|twitter|tencent|vmware|walmart-labs|pocket-gems|intuit
283,Move Zeroes    ,0.538,Easy,9,Two Pointers|Array,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|yahoo|baidu|oracle|ebay|walmart-labs|lyft|paypal|sap
193,Valid Phone Numbers    ,0.25,Easy,9,,google|amazon|adobe|airbnb
609,Find Duplicate File in System    ,0.544,Medium,9,HashTable|String,google|twitter|dropbox
336,Palindrome Pairs    ,0.304,Hard,9,HashTable|String|Trie,google|amazon|facebook|bloomberg|uber|apple|airbnb
192,Word Frequency    ,0.267,Medium,9,,amazon|facebook|bloomberg|adobe|baidu
72,Edit Distance    ,0.368,Hard,9,Dynamic Programming|String,google|amazon|facebook|microsoft|bloomberg|adobe|apple|linkedin|yahoo|alibaba|baidu|cisco|netease|square|huawei|TripleByte
25,Reverse Nodes in k-Group    ,0.357,Hard,9,Linked List,google|amazon|facebook|microsoft|bloomberg|apple|ebay|tencent|vmware|paypal|mathworks|Goo
91,Decode Ways    ,0.22,Medium,9,Dynamic Programming|String,google|amazon|facebook|microsoft|bloomberg|uber|apple|yahoo|twitter|goldman-sachs|salesforce|expedia|pinterest|square|databricks|liveramp
173,Binary Search Tree Iterator    ,0.476,Medium,9,Tree|Stack|Design,google|amazon|facebook|microsoft|bloomberg|uber|apple|linkedin|oracle|cisco|qualtrics|appdynamics|cloudera
236,Lowest Common Ancestor of a Binary Tree    ,0.36,Medium,9,Tree,google|amazon|facebook|microsoft|bloomberg|uber|apple|linkedin|yahoo|alibaba|airbnb|snapchat|goldman-sachs|oracle|ebay|tencent|walmart-labs|salesforce|lyft|paypal|pinterest|zillow|intuit|visa|tableau
50,"Pow(x, n)    ",0.277,Medium,9,Binary Search|Math,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|baidu|snapchat|goldman-sachs|oracle|ebay|tencent|yelp|vmware|walmart-labs|two-sigma
158,Read N Characters Given Read4 II - Call multiple times    ,0.254,Hard,9,String,google|facebook|microsoft|bloomberg|uber|lyft|pinterest|rubrik
844,Backspace String Compare    ,0.455,Easy,9,Two Pointers|Stack,google|facebook|uber
332,Reconstruct Itinerary    ,0.308,Medium,9,Depth First|Graph,google|amazon|facebook|microsoft|bloomberg|uber|snapchat|yelp|expedia|intuit|tripadvisor
755,Pour Water    ,0.394,Medium,9,Array,airbnb
772,Basic Calculator III    ,0.438,Hard,9,String|Stack,google|amazon|facebook|microsoft|uber|salesforce|pinterest|pocket-gems|intuit|hulu|houzz|doordash|Jingchi
716,Max Stack    ,0.394,Easy,9,Design,google|amazon|facebook|microsoft|bloomberg|linkedin|lyft
68,Text Justification    ,0.227,Hard,9,String,google|amazon|facebook|microsoft|uber|apple|linkedin|airbnb|snapchat|twitter|lyft|square|coursera|box
195,Tenth Line    ,0.34,Easy,9,,google|facebook|adobe|apple|aetion
239,Sliding Window Maximum    ,0.374,Hard,9,Heap|Sliding Window,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|alibaba|snapchat|ebay|yelp|lyft|zenefits|pinterest|indeed|nutanix|hulu|coursera|rubrik|servicenow|citadel
347,Top K Frequent Elements    ,0.538,Medium,9,HashTable|Heap,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|baidu|twitter|yelp|pocket-gems|nutanix|dropbox|twilio
176,Second Highest Salary    ,0.265,Easy,9,,google|amazon|facebook|microsoft|adobe|uber|apple|yahoo|alibaba|airbnb|baidu|walmart-labs|visa
695,Max Area of Island    ,0.563,Medium,9,Depth First|Array,google|amazon|facebook|microsoft|bloomberg|adobe|uber|linkedin|alibaba|intuit|qualtrics|affirm|doordash|sumologic
155,Min Stack    ,0.361,Easy,9,Stack|Design,google|amazon|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|snapchat|goldman-sachs|ebay|walmart-labs|lyft|zenefits|godaddy|rubrik
312,Burst Balloons    ,0.465,Hard,9,Dynamic Programming|Divide and Conquer,google|amazon|adobe|alibaba|snapchat|tencent|samsung
212,Word Search II    ,0.278,Hard,9,Backtracking|Trie,google|amazon|facebook|microsoft|uber|apple|yahoo|airbnb|snapchat|oracle|lyft|pocket-gems|houzz
159,Longest Substring with At Most Two Distinct Characters    ,0.464,Hard,9,HashTable|Two Pointers|String|Sliding Window,google|amazon|facebook|microsoft
947,Most Stones Removed with Same Row or Column    ,0.54,Medium,9,Depth First|Union Find,google
489,Robot Room Cleaner    ,0.63,Hard,9,Depth First,google|amazon|facebook
692,Top K Frequent Words    ,0.45,Medium,9,HashTable|Heap|Trie,google|amazon|facebook|microsoft|bloomberg|uber|apple|linkedin|yahoo|twitter|goldman-sachs|yelp|vmware|salesforce|pocket-gems|tripadvisor
32,Longest Valid Parentheses    ,0.251,Hard,9,Dynamic Programming|String,google|amazon|facebook|microsoft|adobe|uber|alibaba|salesforce|expedia|samsung|coupang
341,Flatten Nested List Iterator    ,0.471,Medium,9,Stack|Design,google|amazon|facebook|microsoft|bloomberg|uber|apple|linkedin|airbnb|snapchat|twitter|yelp|hulu|appdynamics
857,Minimum Cost to Hire K Workers    ,0.468,Hard,9,Heap,google
39,Combination Sum    ,0.472,Medium,9,Array|Backtracking,google|amazon|facebook|microsoft|uber|apple|linkedin|yahoo|airbnb|baidu|snapchat|tencent|yelp|vmware|quora|ixl
143,Reorder List    ,0.301,Medium,9,Linked List,google|amazon|facebook|microsoft|bloomberg|cisco|hulu
43,Multiply Strings    ,0.301,Medium,9,Math|String,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|airbnb|twitter|oracle|tencent|walmart-labs|expedia|zillow|mathworks|huawei|houzz|redfin
6,ZigZag Conversion    ,0.31,Medium,9,String,google|amazon|facebook|adobe|uber|apple|airbnb|twitter|tencent|zenefits|paypal|works-applications
636,Exclusive Time of Functions    ,0.482,Medium,9,Stack,google|amazon|facebook|microsoft|uber|apple|linkedin
48,Rotate Image    ,0.473,Medium,9,Array,google|amazon|facebook|microsoft|bloomberg|adobe|apple|baidu|salesforce|nvidia|akuna capital|houzz|servicenow|epic-systems|wish
362,Design Hit Counter    ,0.584,Medium,9,Design,google|amazon|microsoft|bloomberg|uber|apple|yahoo|oracle|yelp|pinterest|zillow|dropbox|quip
177,Nth Highest Salary    ,0.253,Medium,9,,amazon|facebook|adobe
149,Max Points on a Line    ,0.156,Hard,9,HashTable|Math,google|amazon|microsoft|adobe|uber|apple|linkedin|alibaba|twitter|yandex|tripadvisor
12,Integer to Roman    ,0.501,Medium,9,Math|String,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|airbnb|twitter|salesforce|expedia|intuit|sap|godaddy|HTC
277,Find the Celebrity    ,0.359,Medium,9,Array,google|amazon|facebook|microsoft|apple|linkedin|yahoo|airbnb|pinterest
706,Design HashMap    ,0.55,Easy,9,HashTable|Design,amazon|microsoft|adobe|apple|linkedin|twitter|goldman-sachs|salesforce
300,Longest Increasing Subsequence    ,0.404,Medium,9,Binary Search|Dynamic Programming,google|amazon|facebook|microsoft|adobe|uber|apple|linkedin|yahoo|airbnb|twitter|yelp|vmware|salesforce|pocket-gems|wish
16,3Sum Closest    ,0.418,Medium,9,Two Pointers|Array,google|amazon|microsoft|bloomberg|adobe|uber|apple|alibaba|airbnb|goldman-sachs
681,Next Closest Time    ,0.424,Medium,9,String,google|facebook
37,Sudoku Solver    ,0.36,Hard,9,HashTable|Backtracking,google|amazon|facebook|microsoft|adobe|uber|yahoo|airbnb|snapchat|vmware|expedia|riot-games|Arista Networks
126,Word Ladder II    ,0.172,Hard,9,breadth-first-search|Array|String|Backtracking,google|amazon|facebook|microsoft|bloomberg|uber|apple|linkedin|oracle|yelp|lyft|pinterest|box
207,Course Schedule    ,0.37,Medium,9,Depth First|breadth-first-search|Graph|Topological Sort,google|amazon|facebook|microsoft|uber|apple|linkedin|goldman-sachs|ebay|yelp|salesforce|zenefits|paypal|intuit|nutanix
443,String Compression    ,0.371,Easy,9,String,amazon|facebook|microsoft|bloomberg|snapchat|goldman-sachs|yelp|lyft|expedia|nutanix|godaddy|citrix
